Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Contact,Chrome 144.0.7559.133,,,07-02-2026 10:00:24,07-02-2026 10:02:05,1m - 41.111s,ERROR
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/New Folder/Create Contact_1,Chrome 144.0.7559.133,,,07-02-2026 10:00:25,07-02-2026 10:00:57,32.218s,ERROR
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.133,,,07-02-2026 10:00:25,07-02-2026 10:00:29,4.387s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 10:00:29,07-02-2026 10:00:57,27.583s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Contact1/Create a Contact for existing AC_1""), [""accountName"":mainACName], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 10:00:57,07-02-2026 10:00:57,0.060s,ERROR
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.133,,,07-02-2026 10:00:57,07-02-2026 10:00:57,0.009s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/New Folder/Edit Contact Title_1,Chrome 144.0.7559.133,,,07-02-2026 10:00:57,07-02-2026 10:02:05,1m - 8.270s,FAILED
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.133,,,07-02-2026 10:00:57,07-02-2026 10:01:01,4.038s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 10:01:01,07-02-2026 10:01:21,20.259s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Contact1/Edit a new Contact and change title_1""), [""newTitle"":""Admin""], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 10:01:21,07-02-2026 10:02:05,43.819s,FAILED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.133,,,07-02-2026 10:02:05,07-02-2026 10:02:05,0.002s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/New Folder/Search and Delete a Contact_1,Chrome 144.0.7559.133,,,07-02-2026 10:02:05,07-02-2026 10:02:05,0.031s,SKIPPED
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.133,,,07-02-2026 10:02:05,07-02-2026 10:02:05,0.013s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.133,,,07-02-2026 10:02:05,07-02-2026 10:02:05,0.003s,PASSED
