Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Opportunity,Chrome 144.0.7559.133,,,07-02-2026 17:17:47,07-02-2026 17:20:07,2m - 20.321s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/New Folder/Create Oppty_1,Chrome 144.0.7559.133,,,07-02-2026 17:17:47,07-02-2026 17:18:41,53.559s,PASSED
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.133,,,07-02-2026 17:17:48,07-02-2026 17:17:54,6.336s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:17:54,07-02-2026 17:18:18,23.733s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Opportunity1/Create Opportunity_1""), [""contactName"":"""", ""opportunityName"":""New Business""], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:18:18,07-02-2026 17:18:39,21.333s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Close application""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:18:39,07-02-2026 17:18:41,1.977s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.133,,,07-02-2026 17:18:41,07-02-2026 17:18:41,0.009s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/New Folder/Edit Opportunity_1,Chrome 144.0.7559.133,,,07-02-2026 17:18:41,07-02-2026 17:19:22,40.867s,PASSED
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.133,,,07-02-2026 17:18:41,07-02-2026 17:18:45,4.255s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:18:45,07-02-2026 17:19:10,25.058s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Opportunity1/Edit Opportunity_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:19:10,07-02-2026 17:19:20,9.583s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Close application""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:19:20,07-02-2026 17:19:22,1.862s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.133,,,07-02-2026 17:19:22,07-02-2026 17:19:22,0.004s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/New Folder/DeleteOppty_1,Chrome 144.0.7559.133,,,07-02-2026 17:19:22,07-02-2026 17:20:07,45.241s,PASSED
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.133,,,07-02-2026 17:19:22,07-02-2026 17:19:26,4.585s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:19:27,07-02-2026 17:19:50,23.413s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Opportunity1/Delete Oppty_1""), [""opptyName"":""""], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:19:50,07-02-2026 17:20:05,15.416s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Close application""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 17:20:05,07-02-2026 17:20:07,1.705s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.133,,,07-02-2026 17:20:07,07-02-2026 17:20:07,0.001s,PASSED
